"motusRecvID","recvProjectID","receiverID","receiverType","recvDeployID","deploymentStatus","deploymentName","siteName","dtStart","dtEnd","tsStart","tsEnd","latitude","longitude","elevation","isMobile","macAddress","locationPrecision"
"386","1","SG-5113BBBK0425","SENSORGNOME","3734","terminated","Cabot_Head","Cabot_Head","2016-11-09 00:00:00 +00:00","2017-04-14 14:30:00 +00:00","1478649600","1492180200","45.24610000","-81.29860000","","false","0","Exact"
"386","1","SG-5113BBBK0425","SENSORGNOME","4035","terminated","Cabot_Head","Cabot_Head","2017-04-14 14:40:00 +00:00","2019-05-05 23:59:00 +00:00","1492180799.9999998","1557100740.0000002","45.24610000","-81.29860000","","false","0","Exact"
"386","1","SG-5113BBBK0425","SENSORGNOME","664","terminated","Cabot_Head","Cabot_Head","2014-04-30 00:00:00 +00:00","2014-06-07 00:00:00 +00:00","1398816000","1402099200","45.24610000","-81.29860000","","false","0","Exact"
"386","1","SG-5113BBBK0425","SENSORGNOME","5854","terminated","Sydenham","Sydenham","2019-05-06 01:00:00 +00:00","2020-08-10 23:59:00 +00:00","1557104400","1597103940.0000002","44.50490000","-80.94720000","","false","0","Exact"
"387","1","SG-5113BBBK0460","SENSORGNOME","4710","terminated","Gerdau","Gerdau","2018-03-15 00:00:00 +00:00","2021-09-13 00:00:00 +00:00","1521072000","1631491200","43.84870000","-78.90810000","","false","0","Exact"
"387","1","SG-5113BBBK0460","SENSORGNOME","640","terminated","Brantford_Airport","Brantford_Airport","2014-04-10 00:00:00 +00:00","2014-08-25 00:00:00 +00:00","1397088000","1408924800","43.13450000","-80.34390000","","false","0","Exact"
"387","1","SG-5113BBBK0460","SENSORGNOME","769","terminated","Brantford_Airport","Brantford_Airport","2014-08-25 00:00:00 +00:00","2016-12-19 13:00:00 +00:00","1408924800","1482152400","43.13450000","-80.34390000","","false","0","Exact"
"387","1","SG-5113BBBK0460","SENSORGNOME","3694","terminated","Brantford_Airport","Brantford_Airport","2016-12-19 13:00:00 +00:00","2017-04-18 00:00:00 +00:00","1482152400","1492473600","43.13450000","-80.34390000","","false","0","Exact"
"387","1","SG-5113BBBK0460","SENSORGNOME","3932","terminated","Brantford_Airport","Brantford_Airport","2017-04-18 00:01:00 +00:00","2017-12-19 23:59:00 +00:00","1492473659.9999998","1513727940.0000002","43.13450000","-80.34390000","","false","0","Exact"
"388","1","SG-5113BBBK0752","SENSORGNOME","672","terminated","Luther_Marsh","Luther_Marsh","2014-05-08 00:00:00 +00:00","2014-11-19 00:00:00 +00:00","1399507200","1416355200","43.94740000","-80.46400000","","false","0","Exact"
